hours_study,attendance_rate,gpa_prev,extra_activities,sleep_hours,social_media_hours,gender,city,passed
14.1,75.4,2.73,5,6.4,2.5,Female,Alexandria,1
25.1,86.0,2.96,4,6.7,1.1,Female,Cairo,1
16.9,89.5,2.91,5,6.0,0.6,Female,Alexandria,1
29.0,70.8,,1,7.2,4.5,Female,Cairo,1
15.3,76.9,2.92,2,8.4,2.1,Male,Cairo,1
22.3,75.6,2.33,4,5.3,2.5,Female,Alexandria,0
18.6,92.5,1.54,1,8.1,2.3,Male,Giza,1
15.5,100.0,2.4,3,5.4,2.5,Male,Cairo,1
23.5,93.5,1.58,3,6.0,2.5,Female,Cairo,1
19.1,81.5,,1,4.9,2.6,Female,Cairo,1
23.6,99.7,2.8,1,9.5,1.3,Female,Alexandria,1
19.7,69.9,1.79,0,7.1,3.9,Female,Giza,1
13.5,100.0,3.21,2,7.3,1.5,Female,Cairo,1
19.4,78.4,3.32,2,6.2,4.1,Female,Cairo,1
20.3,57.2,2.86,4,8.3,0.0,Female,Cairo,1
25.8,100.0,3.8,4,4.5,0.9,Male,Cairo,1
14.6,100.0,3.92,0,7.0,4.0,Male,Alexandria,1
19.8,74.7,2.08,2,9.6,2.3,Female,Alexandria,1
9.7,86.7,,4,6.5,1.5,Female,Alexandria,1
,82.9,3.06,5,7.0,3.1,Female,Cairo,1
13.5,86.0,3.05,4,7.8,0.9,Female,Cairo,1
9.2,70.2,3.36,1,6.0,2.6,Female,Giza,1
19.6,78.2,2.37,2,7.0,0.0,Female,Cairo,1
26.6,89.7,2.44,2,8.2,1.8,Female,Cairo,1
10.9,87.2,2.3,1,7.2,1.5,Female,Cairo,1
13.5,97.0,2.35,0,7.4,3.3,Male,Giza,1
15.5,85.8,2.74,3,6.6,3.8,Female,Alexandria,1
13.2,100.0,1.93,1,7.4,1.2,Female,Alexandria,1
22.3,,2.17,1,7.1,4.9,Female,Alexandria,1
15.2,87.6,3.15,2,8.7,1.6,Male,Giza,1
15.7,65.8,2.76,4,7.9,0.0,Male,Alexandria,1
75.4,72.5,3.03,4,6.7,0.0,Female,Cairo,1
15.5,98.3,1.67,3,4.1,4.8,Male,Cairo,1
22.6,75.6,2.33,4,7.9,2.4,Female,Cairo,1
14.2,,2.47,1,7.9,1.5,Male,Cairo,1
12.7,84.4,2.82,2,5.9,1.4,Female,Giza,1
9.0,74.6,2.45,4,4.6,0.9,Male,Alexandria,1
31.2,81.5,3.36,3,5.6,4.5,Female,Cairo,1
18.1,79.9,2.77,3,8.1,2.4,Male,Alexandria,1
,80.1,2.81,1,5.7,5.2,Male,Alexandria,0
19.8,92.5,2.81,0,6.4,2.2,Female,Alexandria,1
21.0,91.5,3.22,1,7.3,0.0,Female,Giza,1
20.3,79.2,2.52,2,8.5,3.8,Male,Cairo,1
31.4,75.9,3.47,1,7.0,1.9,Male,Alexandria,1
13.8,87.8,3.08,2,6.9,2.1,Female,Alexandria,1
10.7,84.0,2.89,1,6.3,4.9,Male,Giza,1
13.9,95.3,2.83,5,9.0,,Male,Cairo,1
12.0,100.0,3.11,5,8.3,4.2,Female,Alexandria,1
24.5,93.4,3.41,1,6.9,2.5,Male,Cairo,1
24.9,84.7,3.37,4,5.3,1.4,Male,Alexandria,1
14.2,,3.03,2,6.1,3.3,Female,Giza,1
11.7,76.4,3.33,4,7.7,,Male,Alexandria,1
17.9,75.9,2.87,5,6.1,4.3,Female,Cairo,1
28.3,75.0,3.55,4,8.1,3.9,Female,Giza,1
3.1,81.0,2.78,2,7.4,2.6,Male,Alexandria,1
23.2,80.7,1.55,2,7.4,3.4,Female,Alexandria,1
13.5,,3.6,4,7.8,3.3,Male,Giza,1
,81.0,2.86,2,7.6,2.1,Female,Alexandria,1
13.5,83.0,2.1,0,6.0,3.8,Male,Cairo,1
18.3,72.8,,2,6.6,2.2,Male,Cairo,1
11.0,100.0,2.27,2,9.8,3.4,Female,Alexandria,1
14.1,90.1,4.0,0,5.6,1.1,Male,Cairo,1
28.3,100.0,3.1,1,6.4,2.7,Female,Cairo,1
24.9,93.0,1.86,2,8.3,3.1,Male,Cairo,0
17.6,99.9,3.13,5,6.8,1.3,Female,Cairo,1
14.8,82.5,2.56,2,6.0,1.9,Male,Cairo,1
8.6,92.2,3.95,3,5.4,1.7,Female,Cairo,1
17.6,100.0,2.17,1,7.6,3.6,Female,Alexandria,1
19.8,72.8,1.45,1,8.2,,Female,Cairo,0
19.5,96.8,2.84,1,8.7,3.2,Male,Cairo,1
19.4,100.0,2.59,0,7.1,,Male,Alexandria,1
13.3,89.2,2.55,0,8.3,3.0,Male,Alexandria,1
19.6,92.7,1.52,2,5.8,0.1,Female,Giza,1
19.8,97.8,3.06,3,7.2,2.7,Male,Cairo,1
27.7,78.3,3.8,0,6.2,4.1,Female,Alexandria,1
31.2,89.2,,5,7.2,2.1,Female,Cairo,1
19.2,76.1,3.5,2,7.9,4.2,Female,Alexandria,1
15.4,78.1,2.46,5,8.3,3.4,Male,Cairo,1
19.6,78.7,4.0,4,5.8,3.1,Male,Alexandria,1
16.4,83.5,3.06,2,8.5,2.1,Female,Alexandria,1
15.5,86.5,2.69,1,6.4,1.7,Male,Giza,1
19.6,89.6,3.46,1,5.8,2.1,Male,Alexandria,1
13.7,70.5,3.12,1,6.8,2.6,Male,Cairo,1
23.6,100.0,2.44,3,5.2,3.3,Male,Alexandria,1
19.4,96.8,3.23,2,7.0,3.1,Female,Cairo,1
21.5,92.4,2.49,2,7.3,2.1,Female,Alexandria,1
18.9,81.3,1.73,0,6.8,2.6,Male,Alexandria,0
15.6,84.1,4.0,4,7.6,3.1,Female,Cairo,1
14.3,90.6,2.59,5,6.6,0.1,Male,Alexandria,1
18.6,89.2,2.43,3,7.0,1.4,Male,Cairo,1
16.7,67.8,3.0,0,5.3,,Male,Cairo,1
21.4,92.6,1.86,0,7.1,2.2,Male,Cairo,0
20.0,100.0,1.99,4,6.0,2.1,Male,Alexandria,1
,66.1,2.5,1,6.5,2.1,Female,Alexandria,1
20.4,95.2,2.49,2,6.9,1.2,Male,Cairo,1
,88.8,2.84,5,7.2,3.5,Male,Alexandria,1
16.3,83.9,3.47,4,5.0,2.9,Male,Giza,1
18.2,99.1,2.52,2,5.1,0.1,Female,Giza,1
7.5,72.9,3.1,4,6.6,2.5,Female,Alexandria,1
20.5,86.7,3.16,1,7.6,0.8,Male,Cairo,1
20.9,100.0,2.15,0,7.4,5.1,Male,Alexandria,0
19.1,83.0,2.94,2,8.1,1.8,Male,Giza,1
17.5,,,4,8.6,1.9,Male,Giza,1
17.8,,3.44,1,7.6,2.6,Female,Giza,1
14.1,80.4,3.07,5,7.0,2.2,Female,Cairo,1
18.4,100.0,2.81,1,5.8,2.4,Male,Cairo,1
16.7,75.7,,3,5.9,4.8,Female,Cairo,0
,94.0,2.87,1,6.4,2.9,Male,Alexandria,1
12.8,72.1,2.34,3,7.3,3.8,Male,Giza,1
21.4,91.9,3.22,1,7.3,4.2,Male,Alexandria,1
20.9,83.9,2.73,1,7.0,1.1,Male,Cairo,1
19.2,58.4,2.31,0,6.8,5.1,Female,Alexandria,0
17.4,84.9,3.36,1,7.8,3.6,Male,Cairo,1
23.3,74.0,3.23,0,7.2,4.0,Female,Alexandria,1
10.0,80.4,2.44,4,7.4,1.2,Female,Cairo,1
22.8,100.0,3.5,4,7.4,3.8,Female,Cairo,1
21.5,73.5,2.62,4,6.3,3.1,Male,Cairo,1
21.7,74.1,2.61,1,5.8,1.7,Male,Cairo,1
22.3,99.8,2.87,1,7.6,,Female,Cairo,1
16.1,86.2,2.35,1,7.5,3.4,Female,Giza,1
18.4,,2.54,0,6.7,2.2,Female,Alexandria,1
23.8,88.3,2.7,0,6.5,2.8,Male,Cairo,1
22.6,75.9,3.72,2,9.7,3.9,Male,Giza,1
21.2,84.3,3.7,0,6.1,4.2,Female,Cairo,1
10.9,97.6,2.64,3,6.7,3.4,Female,Cairo,0
23.2,94.7,3.77,3,7.3,,Male,Giza,1
27.0,85.0,2.77,2,5.6,4.7,Female,Giza,1
26.1,85.5,3.03,0,7.1,0.7,Male,Alexandria,1
21.4,83.8,3.33,5,9.2,1.8,Female,Cairo,1
10.7,79.1,2.98,1,8.1,1.1,Female,Alexandria,1
25.7,100.0,4.0,4,7.8,2.7,Female,Cairo,1
19.1,85.1,2.95,5,7.7,4.7,Male,Cairo,1
4.8,73.4,2.08,5,7.1,3.5,Female,Giza,0
22.3,80.1,3.58,3,8.2,1.0,Female,Cairo,1
11.0,92.5,2.55,3,6.8,2.1,Female,Cairo,0
12.2,91.6,2.62,4,6.5,,Female,Cairo,1
16.2,83.6,1.0,4,7.1,1.7,Male,Alexandria,1
27.6,78.1,3.4,4,8.1,2.4,Female,Alexandria,1
17.8,85.2,3.29,5,7.4,3.0,Female,Cairo,1
21.6,67.8,3.28,1,7.8,0.0,Female,Cairo,1
30.5,71.6,3.39,0,4.6,3.7,Female,Giza,1
29.6,93.2,3.81,3,8.4,3.0,Male,Cairo,1
19.4,80.1,2.77,3,9.8,3.4,Female,Cairo,1
18.6,88.9,3.36,5,8.6,1.1,Female,Alexandria,1
12.4,97.5,2.35,1,6.6,1.4,Male,Cairo,1
15.8,91.7,2.59,0,6.0,1.6,Male,Alexandria,1
22.6,85.2,3.43,4,7.3,2.9,Male,Cairo,1
22.4,100.0,3.03,5,5.8,2.6,Male,Cairo,1
20.7,91.9,2.0,1,7.9,2.7,Female,Alexandria,1
26.0,,3.02,1,6.4,5.2,Male,Alexandria,1
15.4,92.5,2.69,4,8.2,4.5,Male,Cairo,0
19.7,89.2,2.31,3,8.6,1.5,Female,Cairo,1
24.4,76.2,3.06,1,4.6,1.5,Male,Giza,1
23.5,85.8,2.56,3,7.4,5.1,Male,Cairo,1
26.4,83.3,1.86,3,6.2,2.1,Female,Cairo,1
22.4,64.8,2.13,0,5.3,4.6,Male,Cairo,1
18.1,83.2,3.86,4,6.3,4.9,Female,Cairo,1
22.2,82.1,1.89,3,6.7,1.7,Female,Cairo,1
14.0,80.5,2.93,5,8.2,2.1,Female,Giza,0
10.2,68.1,3.17,1,5.2,2.7,Male,Cairo,1
23.5,81.4,3.18,5,8.3,1.2,Male,Giza,1
19.7,84.6,2.06,4,9.4,1.1,Female,Alexandria,1
21.9,86.0,2.61,2,7.7,1.9,Female,Cairo,1
9.8,73.3,2.88,0,7.7,3.8,Female,Cairo,0
17.8,91.5,3.28,4,7.0,1.9,Female,Alexandria,1
16.4,72.5,2.41,5,5.6,2.2,Female,Alexandria,1
14.8,82.7,2.1,1,7.6,1.8,Male,Cairo,1
6.5,98.4,3.4,0,7.5,0.5,Female,Cairo,1
18.0,77.9,3.46,0,7.9,4.8,Male,Giza,1
25.4,79.7,3.02,1,10.1,0.0,Male,Alexandria,1
22.3,96.0,2.43,4,7.9,1.5,Female,Alexandria,1
16.4,,3.04,1,7.5,3.4,Male,Giza,1
19.9,81.9,2.87,5,8.9,0.4,Female,Cairo,1
24.5,87.3,3.3,5,5.4,3.4,Female,Cairo,1
3.4,95.8,2.05,4,5.6,4.4,Male,Giza,1
19.3,62.4,2.87,0,6.5,1.2,Female,Cairo,1
23.3,76.5,2.7,3,6.2,2.8,Male,Cairo,1
24.1,74.7,2.13,1,7.8,0.9,Female,Giza,1
30.2,73.9,2.93,3,6.6,3.3,Male,Giza,1
26.8,76.2,2.82,3,9.1,2.7,Female,Giza,1
21.9,76.4,2.55,4,8.8,2.9,Female,Alexandria,0
21.8,88.1,3.04,4,7.9,4.6,Female,Cairo,1
24.7,75.9,1.95,3,6.5,3.2,Male,Alexandria,1
16.8,86.3,2.77,4,7.7,4.5,Male,Cairo,1
19.8,89.1,3.06,2,8.0,3.5,Female,Cairo,1
25.4,77.5,2.97,5,5.7,0.7,Female,Cairo,1
31.7,86.3,3.45,5,7.4,2.9,Male,Alexandria,1
19.0,100.0,2.08,0,7.8,18.6,Male,Giza,1
19.7,88.3,1.9,2,7.3,0.4,Female,Alexandria,1
21.2,78.5,2.94,3,8.9,4.5,Female,Cairo,1
28.1,,3.07,5,8.5,2.6,Male,Alexandria,1
19.8,75.6,4.0,5,6.0,3.1,Female,Cairo,1
,87.8,3.17,4,7.1,1.2,Male,Giza,1
14.2,93.8,2.28,0,6.0,18.6,Female,Alexandria,1
18.9,76.6,3.28,4,7.7,3.0,Male,Cairo,1
18.8,82.9,2.29,0,6.0,2.0,Male,Cairo,1
24.7,96.4,1.91,5,8.1,2.6,Male,Cairo,1
26.3,79.9,4.0,4,7.5,0.0,Male,Cairo,1
10.9,86.9,,5,8.2,4.6,Female,Cairo,1
14.5,74.5,3.23,5,6.8,0.9,Male,Alexandria,1
22.0,76.6,3.14,5,5.3,,Male,Alexandria,1
16.0,79.8,3.89,3,9.1,1.1,Female,Giza,1
10.9,100.0,2.97,3,6.8,1.3,Male,Giza,1
26.2,80.9,3.53,1,8.7,3.3,Female,Alexandria,1
23.0,79.7,2.18,2,7.5,1.2,Female,Cairo,1
23.0,79.4,1.96,0,7.8,3.0,Female,Cairo,1
17.1,83.3,3.66,4,9.2,1.1,Male,Alexandria,1
26.2,91.6,3.68,2,7.4,5.8,Male,Cairo,1
18.6,86.9,3.11,5,8.7,3.3,Male,Cairo,1
75.4,,2.94,5,5.2,5.5,Female,Alexandria,1
14.5,87.1,2.9,3,8.0,1.0,Male,Cairo,1
14.9,99.5,2.39,5,6.7,3.5,Male,Giza,1
21.2,87.8,3.72,0,6.8,1.1,Male,Alexandria,1
15.8,91.1,3.2,2,7.0,3.4,Male,Alexandria,1
24.1,70.6,3.1,0,7.4,3.5,Female,Giza,0
21.6,83.7,,0,9.0,0.1,Male,Cairo,1
14.5,,3.43,2,4.8,0.8,Male,Cairo,1
20.4,82.6,3.1,4,7.1,0.8,Male,Alexandria,1
17.9,63.5,3.25,4,6.1,0.3,Male,Giza,1
25.5,,,4,8.4,1.4,Male,Cairo,1
16.2,81.1,3.11,5,6.5,1.1,Male,Alexandria,1
17.4,80.6,4.0,5,7.5,0.4,Female,Giza,1
27.3,82.4,2.49,2,6.5,2.7,Male,Cairo,1
33.4,82.7,2.72,0,7.8,3.3,Female,Alexandria,1
32.0,,3.34,3,8.2,0.6,Male,Alexandria,1
75.4,72.3,3.37,5,6.5,1.7,Male,Cairo,1
21.3,75.7,3.17,3,7.1,2.5,Male,Alexandria,1
29.2,87.9,1.83,5,5.3,2.2,Female,Giza,1
19.3,86.5,3.1,0,7.4,1.5,Male,Alexandria,0
14.1,81.2,2.09,2,8.0,3.7,Male,Alexandria,1
20.7,79.3,2.31,0,6.3,3.8,Female,Alexandria,1
22.7,76.7,3.13,4,8.3,3.5,Male,Cairo,1
15.0,84.4,2.62,3,4.5,2.2,Male,Giza,1
10.1,,3.29,1,4.8,5.5,Male,Cairo,1
11.4,74.4,,3,5.3,5.1,Female,Giza,1
24.0,100.0,3.27,3,6.4,1.9,Male,Giza,1
15.4,93.4,3.23,5,7.0,2.3,Female,Giza,1
19.2,80.5,2.26,5,6.9,4.3,Male,Giza,1
21.3,92.8,2.41,1,6.9,1.3,Female,Alexandria,1
23.7,70.3,2.16,0,7.9,3.1,Female,Cairo,1
18.0,67.7,2.48,5,6.4,2.6,Female,Alexandria,1
,72.1,2.14,3,5.5,1.5,Male,Alexandria,1
14.7,80.9,2.4,1,5.5,2.2,Male,Cairo,1
17.8,81.7,2.67,3,9.5,0.2,Male,Alexandria,1
13.9,79.8,2.2,3,4.2,1.7,Female,Cairo,1
26.8,86.0,1.95,4,6.8,0.0,Male,Alexandria,1
19.8,63.6,1.98,4,8.7,5.9,Female,Cairo,0
15.6,90.0,3.07,5,7.6,4.8,Female,Cairo,1
17.9,70.8,2.84,0,6.0,4.4,Female,Giza,1
18.7,78.4,3.42,5,7.0,,Male,Alexandria,1
24.2,80.9,3.43,5,8.0,4.0,Male,Cairo,1
10.4,73.4,2.6,2,8.4,4.4,Female,Alexandria,1
13.8,71.3,3.2,5,5.9,4.0,Male,Giza,1
17.7,74.9,1.94,3,7.9,18.6,Female,Alexandria,0
35.2,,4.0,5,7.3,1.1,Female,Alexandria,1
25.7,90.9,3.52,3,8.3,3.2,Female,Cairo,1
19.3,90.6,2.67,0,8.7,1.7,Female,Alexandria,1
24.3,75.1,2.1,1,6.6,0.7,Female,Cairo,1
32.3,77.1,3.03,3,5.3,0.8,Male,Giza,1
18.6,75.8,1.68,5,7.5,3.2,Female,Alexandria,1
17.8,89.5,2.33,4,9.1,4.1,Male,Cairo,0
27.3,64.6,3.25,4,7.8,0.5,Female,Giza,1
23.0,97.4,2.85,5,7.3,5.1,Male,Alexandria,1
24.0,80.2,2.51,1,9.9,4.7,Female,Cairo,1
17.0,77.2,3.37,1,5.8,1.9,Female,Cairo,1
31.5,88.4,2.18,5,8.1,1.8,Male,Cairo,1
30.3,95.3,2.97,0,6.3,2.4,Female,Alexandria,1
23.4,88.4,,1,7.1,4.0,Female,Cairo,1
,95.5,2.29,4,7.1,1.9,Male,Cairo,1
7.8,,3.08,1,8.8,0.8,Female,Alexandria,0
,97.3,2.2,1,5.9,3.0,Female,Cairo,1
18.8,97.5,3.94,5,6.4,0.0,Male,Cairo,1
22.6,,2.45,0,5.1,2.7,Female,Cairo,1
24.1,99.4,3.99,4,7.6,4.2,Male,Cairo,1
18.0,86.6,2.14,0,6.5,3.0,Male,Alexandria,1
9.9,85.9,3.16,0,7.5,3.7,Female,Cairo,1
22.2,75.8,2.08,3,5.7,3.2,Male,Giza,1
15.6,82.1,2.0,3,6.6,3.6,Female,Cairo,1
18.0,92.8,2.9,3,8.2,2.7,Male,Cairo,1
16.4,71.9,3.21,1,6.8,1.3,Female,Cairo,1
,91.5,2.04,4,7.8,2.2,Male,Giza,1
6.1,88.5,3.51,0,7.6,2.4,Female,Alexandria,1
27.3,87.8,2.32,4,6.6,4.4,Female,Cairo,1
21.5,62.9,2.88,3,5.1,4.9,Male,Cairo,1
26.7,84.0,3.03,0,8.2,3.1,Male,Cairo,1
,91.5,3.16,2,7.2,1.4,Female,Alexandria,1
20.1,77.4,1.72,5,8.2,1.4,Male,Alexandria,1
9.2,85.9,,2,4.6,2.2,Female,Alexandria,1
14.6,61.2,,5,5.0,4.6,Female,Alexandria,0
12.8,91.7,2.54,0,4.4,3.0,Male,Alexandria,0
17.0,78.4,2.19,5,5.9,2.4,Male,Alexandria,1
20.5,93.7,,1,8.3,1.4,Male,Cairo,1
8.0,66.6,1.98,4,7.7,3.8,Female,Alexandria,0
22.1,91.9,,0,7.0,2.9,Male,Alexandria,1
10.9,82.6,2.6,2,7.2,2.4,Male,Alexandria,1
21.8,,2.12,4,7.9,2.7,Female,Cairo,1
19.3,75.7,2.48,1,6.6,5.0,Male,Cairo,1
18.1,78.8,3.74,5,7.5,2.3,Female,Giza,1
19.6,100.0,2.6,5,7.2,5.0,Female,Giza,1
16.8,76.7,2.45,2,4.4,4.4,Male,Alexandria,1
16.3,77.9,3.61,2,6.5,2.6,Female,Alexandria,1
9.9,82.2,3.08,5,8.6,3.8,Female,Alexandria,1
19.8,74.8,2.83,2,6.5,2.3,Female,Giza,1
75.4,96.9,2.44,5,6.8,1.3,Male,Alexandria,1
31.9,100.0,1.87,4,6.3,2.1,Male,Cairo,1
27.9,78.0,2.1,2,6.4,1.1,Female,Alexandria,1
24.2,67.7,2.51,4,8.3,3.3,Male,Cairo,1
15.9,96.7,2.67,3,6.7,2.5,Female,Cairo,1
28.7,96.1,3.01,4,5.8,3.4,Male,Giza,1
19.7,93.2,3.13,2,3.3,3.7,Male,Alexandria,1
19.6,,2.93,3,6.3,0.0,Female,Alexandria,1
18.3,76.3,2.93,3,4.6,3.0,Male,Alexandria,1
20.6,83.3,2.2,3,4.8,0.0,Male,Giza,1
17.4,71.2,1.51,3,8.0,,Male,Cairo,0
19.5,70.8,2.49,4,7.9,1.2,Female,Alexandria,1
13.5,94.8,2.23,1,4.7,2.7,Female,Cairo,1
17.8,78.3,2.41,2,8.0,,Male,Cairo,1
33.7,100.0,2.64,3,7.6,0.0,Male,Cairo,1
19.6,85.7,2.05,1,6.1,2.8,Male,Alexandria,1
75.4,78.6,2.13,4,7.9,2.4,Female,Cairo,1
23.2,93.0,2.74,5,5.0,0.0,Male,Alexandria,1
24.2,100.0,2.87,3,5.6,3.5,Female,Cairo,1
13.3,89.9,2.41,5,5.3,2.6,Female,Cairo,1
18.8,72.8,3.1,0,5.7,1.7,Male,Giza,1
25.5,88.7,,4,8.1,1.4,Female,Cairo,1
21.6,98.8,2.19,2,5.4,7.3,Male,Alexandria,1
20.7,80.1,2.82,1,5.6,1.9,Female,Cairo,1
29.3,77.3,3.93,5,5.9,0.0,Male,Cairo,1
15.9,95.2,2.4,0,7.2,1.1,Female,Cairo,1
20.5,86.4,3.5,5,6.6,2.0,Female,Giza,0
16.9,74.0,3.63,5,8.0,1.9,Female,Cairo,1
28.9,81.2,3.7,4,6.1,2.4,Female,Alexandria,1
8.3,77.4,2.31,5,5.5,0.9,Male,Cairo,0
16.0,88.0,4.0,4,6.4,3.3,Male,Alexandria,1
16.8,86.1,2.87,1,7.0,1.8,Female,Alexandria,1
24.0,96.5,2.65,5,5.9,0.5,Female,Cairo,1
23.6,92.1,2.66,3,7.3,1.3,Female,Giza,1
28.4,69.4,3.16,3,9.2,1.9,Female,Cairo,1
10.6,89.1,2.83,0,6.3,3.8,Male,Cairo,1
24.5,94.0,2.69,2,7.0,3.2,Male,Cairo,1
18.2,89.6,3.57,2,8.6,2.0,Male,Giza,1
16.0,95.3,2.37,1,6.2,2.5,Female,Giza,1
,79.5,2.17,4,6.0,2.8,Female,Alexandria,1
14.5,75.5,3.28,5,5.7,5.6,Female,Cairo,1
7.5,94.3,3.22,2,7.5,1.6,Female,Alexandria,1
17.8,74.3,,1,7.6,3.2,Male,Cairo,1
11.0,63.4,2.16,4,6.8,3.6,Male,Giza,0
16.1,95.3,3.45,2,7.0,1.1,Male,Cairo,1
22.2,77.8,3.09,5,8.5,2.8,Male,Cairo,1
21.9,81.9,3.86,4,8.0,2.7,Male,Cairo,1
29.5,,2.05,0,5.3,1.8,Male,Alexandria,1
18.8,71.7,2.93,2,7.0,3.4,Male,Cairo,1
10.8,,2.63,4,7.1,4.0,Female,Cairo,0
15.5,81.4,1.85,0,7.8,4.2,Female,Giza,1
14.5,88.7,2.37,2,6.7,2.2,Female,Alexandria,1
12.7,62.0,3.48,0,6.2,2.8,Female,Cairo,0
22.6,92.5,2.52,1,6.4,6.0,Male,Giza,1
16.1,73.2,2.37,5,4.8,0.8,Female,Alexandria,0
8.1,74.3,3.32,2,6.9,2.8,Female,Giza,1
24.2,91.8,3.39,4,6.3,3.8,Female,Cairo,1
19.3,84.3,3.39,2,7.5,2.7,Female,Cairo,1
22.1,69.6,2.33,5,5.7,3.5,Male,Alexandria,1
20.6,100.0,2.77,5,6.4,2.8,Male,Alexandria,1
23.8,76.4,3.42,4,5.8,3.6,Male,Cairo,1
,87.5,2.41,4,5.7,4.4,Male,Alexandria,1
27.4,87.0,2.35,0,7.8,,Female,Alexandria,1
22.5,99.1,3.3,0,6.4,2.8,Female,Cairo,1
22.4,80.4,3.74,5,7.5,2.4,Female,Giza,1
22.5,95.1,2.11,0,5.6,1.9,Male,Alexandria,1
11.3,77.6,1.24,0,7.1,2.5,Male,Alexandria,1
19.0,96.2,1.93,5,4.9,0.8,Female,Alexandria,1
18.4,77.4,2.19,0,6.4,3.6,Female,Cairo,1
21.2,81.4,2.72,3,6.4,5.1,Male,Alexandria,1
,100.0,3.17,0,7.7,5.1,Male,Cairo,1
29.8,88.2,2.71,3,7.2,4.4,Male,Cairo,1
20.6,86.1,2.38,1,6.7,1.1,Female,Alexandria,1
12.7,100.0,2.89,2,8.0,4.8,Female,Cairo,1
9.7,88.6,2.22,0,7.2,1.4,Male,Cairo,1
,76.8,2.77,4,7.6,2.4,Female,Alexandria,1
19.5,92.3,2.42,5,7.9,18.6,Male,Giza,1
15.7,73.2,4.0,3,6.9,0.9,Male,Cairo,1
20.6,96.3,3.29,1,6.6,3.8,Male,Cairo,1
16.2,97.1,2.3,3,7.3,2.9,Female,Cairo,1
,79.3,2.2,1,6.4,2.3,Female,Alexandria,1
15.7,,2.54,1,7.4,1.2,Female,Alexandria,0
19.8,86.8,1.81,4,8.3,,Female,Alexandria,1
,85.1,2.36,4,8.0,1.8,Male,Cairo,1
35.4,75.2,2.36,0,6.5,4.1,Male,Alexandria,1
75.4,90.7,3.33,1,5.4,4.3,Male,Alexandria,1
17.2,64.6,2.54,5,6.9,0.4,Female,Alexandria,1
15.0,80.7,2.33,0,6.8,1.7,Male,Alexandria,0
24.7,81.0,2.0,2,8.3,2.0,Male,Giza,1
13.1,82.3,2.09,3,6.5,0.7,Female,Cairo,0
17.1,88.1,2.76,0,6.7,0.8,Female,Giza,1
19.8,72.7,2.67,4,7.8,2.6,Female,Cairo,1
14.1,90.9,3.48,4,6.4,2.2,Male,Alexandria,1
14.3,83.2,2.42,1,6.8,18.6,Male,Cairo,0
17.1,78.5,3.44,5,9.0,1.7,Female,Cairo,1
7.4,71.3,2.95,1,8.7,3.3,Female,Giza,0
11.3,73.2,2.8,4,7.7,0.7,Male,Giza,1
17.5,,1.6,0,7.3,1.1,Female,Alexandria,1
20.9,75.4,2.03,4,5.8,4.9,Female,Cairo,1
18.9,85.6,3.24,3,7.6,4.5,Male,Cairo,1
,95.6,3.64,4,7.0,0.1,Male,Giza,0
17.2,95.3,2.92,4,7.2,0.5,Male,Cairo,1
24.8,100.0,3.26,3,6.3,3.1,Male,Cairo,1
23.3,82.0,2.56,0,6.9,0.7,Female,Giza,1
19.5,74.1,2.58,2,6.7,2.1,Female,Alexandria,1
,95.2,2.4,3,7.3,,Male,Cairo,1
23.8,,3.38,5,8.7,3.3,Female,Giza,1
16.5,96.2,3.01,3,7.4,0.0,Female,Alexandria,1
13.0,85.1,2.66,5,5.0,0.0,Female,Cairo,1
15.2,97.0,2.6,0,5.8,0.7,Female,Giza,1
28.7,93.5,3.13,2,5.0,4.0,Male,Alexandria,1
21.3,92.2,2.99,3,6.0,2.3,Female,Cairo,1
27.0,90.0,2.3,5,7.6,0.0,Male,Giza,1
17.1,89.0,3.83,1,7.4,3.2,Female,Cairo,1
25.6,87.3,2.95,2,6.2,3.6,Male,Alexandria,1
16.4,87.3,2.81,1,7.3,2.1,Female,Alexandria,1
19.1,,3.69,5,6.0,2.0,Female,Cairo,1
34.9,79.9,3.41,5,5.2,3.2,Male,Giza,1
24.6,100.0,2.75,5,5.3,4.3,Female,Alexandria,1
17.0,83.9,3.12,0,5.9,2.7,Male,Cairo,1
19.5,94.9,2.16,4,8.6,3.3,Male,Alexandria,1
22.0,84.1,2.42,2,5.3,2.4,Male,Cairo,1
27.3,82.5,1.44,3,8.4,,Female,Giza,1
17.1,100.0,3.53,3,8.5,1.1,Male,Alexandria,1
9.6,81.9,1.66,3,6.7,2.9,Female,Cairo,0
18.3,72.2,3.21,2,6.9,2.0,Male,Alexandria,1
20.1,77.9,2.3,3,6.2,2.1,Male,Alexandria,1
20.7,81.8,2.21,0,6.9,3.9,Female,Alexandria,1
27.9,100.0,2.68,3,7.7,3.2,Female,Cairo,1
21.9,87.1,2.96,5,7.0,,Male,Cairo,1
24.9,94.3,3.17,5,8.1,0.1,Female,Giza,1
13.4,75.0,3.86,1,8.4,3.3,Male,Giza,1
25.2,88.5,3.02,0,7.4,1.6,Female,Cairo,1
32.6,91.7,3.33,2,7.3,1.3,Male,Cairo,1
24.6,100.0,2.44,1,6.9,1.2,Female,Cairo,1
21.5,78.0,3.23,5,7.4,4.3,Male,Cairo,1
20.9,91.0,2.89,4,5.6,,Female,Giza,0
30.7,88.0,2.52,5,7.4,1.4,Male,Alexandria,1
